plan_name_hgarb,Name,FY,market_return_from_valuation,admin_expense_pct,market_return_from_acfr
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2008,-4.80E-02,4.94E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2009,-0.206,7.73E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2010,0.106,4.92E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2011,0.208,7.67E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2012,1.00E-03,4.19E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2013,0.123,6.93E-04,NA
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2014,0.183,4.71E-04,0.184
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2015,0.03,5.98E-04,3.09E-02
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2016,-5.00E-03,4.17E-04,-4.30E-03
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2017,0.13,4.83E-04,0.1304
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2018,8.30E-02,3.56E-04,8.20E-02
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2019,0.06,3.20E-04,5.88E-02
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2020,4.10E-02,5.62E-04,4.05E-02
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2021,0.3,3.96E-04,0.2962
State of Alaska Judicial Retirement System,Alaska Judicial Retirement System,2022,-0.06,4.71E-04,-5.98E-02
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2001,-5.57E-02,5.73E-04,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2002,-5.69E-02,7.06E-04,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2003,3.18E-02,7.78E-04,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2004,0.146,6.33E-04,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2005,8.55E-02,5.09E-04,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2006,0.114,5.29E-04,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2007,0.185,4.92E-04,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2008,-3.10E-02,9.49E-04,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2009,-0.245,1.29E-03,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2010,0.1,1.18E-03,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2011,0.206,1.08E-03,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2012,-1.00E-03,1.10E-03,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2013,0.12,1.06E-03,NA
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2014,0.181,1.06E-03,0.1843
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2015,3.10E-02,8.78E-04,3.12E-02
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2016,-7.00E-03,8.80E-04,-6.80E-03
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2017,0.129,8.42E-04,0.1269
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2018,8.20E-02,6.72E-04,8.26E-02
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2019,5.90E-02,7.83E-04,5.88E-02
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2020,4.10E-02,7.41E-04,4.03E-02
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2021,0.3,6.91E-04,0.2977
State of Alaska - Public Employees' Retirement System,Alaska Public Employees Retirement System,2022,-0.06,8.36E-04,-0.06
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2001,-5.61E-02,4.79E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2002,-5.68E-02,5.74E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2003,3.04E-02,6.55E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2004,0.1462,5.52E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2005,8.55E-02,4.58E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2006,0.114,4.56E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2007,0.185,4.33E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2008,-0.03,7.52E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2009,-0.235,9.77E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2010,0.105,9.93E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2011,0.206,8.98E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2012,0,9.47E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2013,0.121,9.12E-04,NA
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2014,0.181,8.38E-04,0.1841
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2015,3.40E-02,5.32E-04,3.30E-02
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2016,-7.00E-03,5.36E-04,-3.60E-03
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2017,0.13,5.44E-04,0.1304
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2018,8.29E-02,5.57E-04,8.30E-02
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2019,5.90E-02,5.48E-04,5.85E-02
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2020,4.10E-02,5.49E-04,4.01E-02
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2021,0.301,5.12E-04,0.298
Alaska-Teacher's Retirement System,Alaska Teachers Retirement System,2022,-0.06,6.31E-04,-5.91E-02
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2001,NA,5.46E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2002,NA,4.43E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2003,NA,3.53E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2004,NA,3.20E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2005,NA,2.47E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2006,NA,1.85E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2007,NA,1.55E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2008,NA,1.83E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2009,NA,1.73E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2010,NA,1.07E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2011,NA,1.17E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2012,2.48E-02,1.42E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2013,0.1141,1.13E-03,NA
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2014,0.181,7.74E-04,0.184
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2015,-3.40E-03,1.04E-03,-2.00E-03
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2016,1.80E-02,6.25E-04,1.90E-02
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2017,9.39E-02,1.24E-03,9.60E-02
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2018,7.18E-02,1.17E-03,7.40E-02
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2019,6.70E-02,1.48E-03,6.90E-02
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2020,4.40E-02,1.13E-03,4.10E-02
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2021,0.241,7.33E-04,0.243
California Judges’ Retirement System II,CalPERS - California Judges Retirement Fund II,2022,-0.134,1.10E-03,-0.134
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2001,NA,1.17E-02,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2002,NA,7.85E-02,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2003,NA,0.11214539,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2004,NA,0.155965293,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2005,NA,6.15E-02,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2006,NA,9.56E-03,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2007,NA,6.01E-02,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2008,NA,5.06E-02,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2009,NA,2.26E-02,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2010,NA,1.53E-02,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2011,NA,2.19E-02,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2012,NA,1.60E-02,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2013,NA,2.63E-02,NA
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2014,NA,1.99E-02,0
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2015,NA,2.98E-02,2.00E-03
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2016,NA,1.61E-02,5.00E-03
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2017,NA,3.67E-02,0.01
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2018,NA,5.31E-02,1.90E-02
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2019,NA,0.986527682,3.20E-02
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2020,NA,5.19E-02,2.30E-02
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2021,NA,2.81E-02,0.134
California Judges Retirement System,CalPERS - California Judges Retirement Fund,2022,NA,3.43E-02,3.00E-03
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2001,NA,NA,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2001,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2002,NA,NA,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2002,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2003,NA,NA,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2003,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2004,NA,NA,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2004,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2005,NA,NA,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2005,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2006,NA,2.17E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2006,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2007,NA,2.27E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2007,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2008,NA,2.81E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2008,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2009,NA,3.01E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2009,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2010,NA,2.62E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2010,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2011,NA,3.10E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2011,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2012,NA,2.87E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2012,NA,NA,NA
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2013,NA,3.42E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2013,NA,NA,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2014,NA,NA,0.131
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2014,NA,2.78E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2015,NA,NA,-1.00E-03
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2015,NA,3.29E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2016,NA,NA,3.80E-02
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2016,-2.00E-03,1.70E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2017,NA,NA,4.30E-02
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2017,3.75E-02,4.92E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2018,NA,NA,4.80E-02
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2018,4.82E-02,4.48E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2019,NA,NA,7.00E-02
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2019,7.00E-02,4.66E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2020,NA,NA,6.20E-02
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2020,6.30E-02,3.91E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2021,NA,NA,0.134
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2021,0.135,-3.75E-03,NA
California Legislators' Retirement Fund,CalPERS - California Legislators Retirement Fund,2022,NA,NA,-0.103
California Public Employees' Retirement System,CalPERS - California Legislators Retirement Fund,2022,-0.108,-5.25E-03,NA
California State Teachers Retirement System,California State Teachers Retirement System,2001,NA,5.34E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2002,-6.10E-02,6.56E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2003,3.80E-02,7.27E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2004,0.166,8.26E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2005,0.123,7.35E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2006,0.125,6.71E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2007,0.209,6.17E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2008,-5.50E-02,6.81E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2009,-0.254,9.63E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2010,0.129,1.09E-03,NA
California State Teachers Retirement System,California State Teachers Retirement System,2011,0.236,7.07E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2012,6.00E-03,9.15E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2013,0.139,8.46E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2014,0.186,8.57E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2015,3.90E-02,8.08E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2016,1.30E-02,1.03E-03,NA
California State Teachers Retirement System,California State Teachers Retirement System,2017,0.134,9.10E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2018,0.09,9.70E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2019,6.60E-02,1.08E-03,NA
California State Teachers Retirement System,California State Teachers Retirement System,2020,4.10E-02,9.13E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2021,0.271,8.12E-04,NA
California State Teachers Retirement System,California State Teachers Retirement System,2022,-2.40E-02,6.53E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2001,NA,NA,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2002,-0.09,7.62E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2003,5.60E-02,7.99E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2004,NA,6.13E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2005,0.103,5.08E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2006,7.20E-02,7.84E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2007,0.19,8.09E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2008,-5.60E-02,8.70E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2009,-0.192,1.01E-03,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2010,0.13,9.45E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2011,0.22,7.42E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2012,3.00E-03,7.86E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2013,0.117,8.25E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2014,0.178,7.13E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2015,0.04,8.77E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2016,-0.02,8.92E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2017,0.145,7.10E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2018,7.80E-02,5.49E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2019,0.06,8.82E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2020,1.70E-02,9.31E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2021,0.303,7.07E-04,NA
CALIFORNIA - University of California Retirement System,University of California Retirement System,2022,-0.106,1.04E-03,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2001,NA,NA,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2002,NA,NA,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2003,NA,NA,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2004,NA,NA,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2005,NA,NA,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2006,NA,NA,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2007,0.1009,NA,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2008,-0.2578,NA,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2009,0.1714,NA,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2010,0.1384,1.00E-03,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2011,1.91E-02,6.79E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2012,0.1298,6.41E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2013,0.1557,6.86E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2014,5.74E-02,7.31E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2015,1.54E-02,8.40E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2016,7.27E-02,8.86E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2017,0.1811,8.28E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2018,-3.36E-02,9.17E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2019,0.2035,7.42E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2020,0.1708,6.49E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2021,0.1603,6.10E-04,NA
Colorado PERA Denver Public School,"Colorado PERA, Denver Public Schools Fund",2022,-0.1346,7.96E-04,NA
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2001,NA,NA,-7.70E-02
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2002,NA,NA,-0.118
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2003,NA,NA,0.241
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2004,NA,NA,0.141
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2005,NA,NA,9.80E-02
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2006,NA,8.38E-05,0.157
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2007,0.1009,7.92E-05,0.1
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2008,-0.2578,1.17E-04,0.26
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2009,0.1714,1.05E-04,0.174
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2010,0.1384,2.75E-04,0.14
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2011,1.91E-02,2.77E-04,1.90E-02
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2012,0.1298,2.51E-04,0.129
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2013,0.1557,2.55E-04,0.156
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2014,5.74E-02,2.58E-04,5.70E-02
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2015,1.54E-02,2.79E-04,1.60E-02
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2016,7.27E-02,2.80E-04,7.30E-02
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2017,0.1811,2.61E-04,0.181
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2018,-3.36E-02,2.83E-04,-3.30E-02
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2019,0.2035,2.32E-04,0.204
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2020,0.1708,2.11E-04,0.171
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2021,0.1603,3.92E-04,0.161
Colorado- Judicial Division Trust Fund,"Colorado PERA, Judicial Fund",2022,-0.1346,5.19E-04,-0.135
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2001,NA,NA,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2002,NA,NA,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2003,NA,NA,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2004,NA,NA,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2005,NA,NA,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2006,NA,6.54E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2007,0.1009,6.36E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2008,-0.2578,9.47E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2009,0.1714,8.40E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2010,0.1384,7.69E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2011,1.91E-02,7.50E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2012,0.1298,6.45E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2013,0.1557,5.78E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2014,5.74E-02,5.60E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2015,1.54E-02,6.19E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2016,7.27E-02,6.39E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2017,0.1811,5.98E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2018,-3.36E-02,6.60E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2019,0.2035,5.39E-04,NA
"Colorado PERA, Local Division Fund","Colorado PERA, Local Division Fund",2020,0.1708,4.73E-04,NA
